,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури и полета съгласно ,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки,Модел на подаване,,
,,,,,,,,,,,,,Месечно отчитане,Отчитане при поискване - Материални запаси,Годишен отчет - Активи
,,4.1 CorrespondingAccountsReport,,,,,,Optional,,,,,x,N/A,N/A
,,,CorrespondingAccountReport,,,,,,,,,,x,N/A,N/A
,CAR.1,,,LineNo,Пореден номер на ред от справката,nonNegativeInteger,ERP,Mandatory,N/A,N/A,N/A,N/A,x,N/A,N/A
,CAR.2,,,Period,Счетоводен период. ,nonNegativeInteger,ERP,Mandatory,N/A,N/A,N/A,N/A,x,N/A,N/A
,CAR.3,,,PeriodYear,Година на счетоводния период.,nonNegativeInteger,ERP,Mandatory,Максимум текуща година,N/A,N/A,N/A,x,N/A,N/A
,CAR.4,,,AccountID,"Код на основна аналитична счетоводна сметка, който трябва да съответства на предоставената номенклатура от сметки от НАП.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни, съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на аналитична счетоводна сметка, който се използва в счетоводните записвания. Полето следва да се попълни, съгласно номенклатурата:
- NRA Nom of Accounts",x,N/A,N/A
,CAR.5,,,DebitOpeningBalance,Дебитно начално салдо на основната аналитична сметка,SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",N/A,N/A,Число с два знака след десетичната точка. ,x,N/A,N/A
,CAR.6,,,CreditOpeningBalance,Кредитно начално салдо на основната анлитична сметка,SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",N/A,N/A,Число с два знака след десетичната точка. ,x,N/A,N/A
,CAR.7,,,CorrespondingAccount,Структура на кореспондираща счетоводна сметка.,Сorresponding account structure,Corresponding Accounts file.,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,CAR.8,,Сorresponding account structure,CorrespondingAccountID,"Код на кореспондираща счетоводна сметка, който трябва да съответства на предоставената номенклатура от сметки.",SAFmiddle2textType,ERP,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво сметка, което трябва да се отчита съгласно представена Номенклатура на счетоводните сметки.",N/A,"Полето следва да се попълни, съгласно номенклатурата:
- NRA Nom of Accounts",x,N/A,N/A
,CAR.9,,,DebitTurnover,Дебитен оборот,SAFmonetaryType,ERP,Mandatory,N/A,N/A,N/A,Число с два знака след десетичната точка. ,x,N/A,N/A
,CAR.10,,,CreditTurnover,Кредитен оборот,SAFmonetaryType,ERP,Mandatory,N/A,N/A,N/A,Число с два знака след десетичната точка. ,x,N/A,N/A
,CAR.11,,,TotalDebitClosingBalance,Крайно дебитно салдо на основната аналитична сметка ,SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",N/A,N/A,Число с два знака след десетичната точка. ,x,N/A,N/A
,CAR.12,,,TotalCreditClosingBalance,Крайно кредитно салдо на основната аналитична сметка,SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",N/A,N/A,Число с два знака след десетичната точка. ,x,N/A,N/A
