,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури и полета съгласно ,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки,Модел на подаване,,
,,,,,,,,,,,,,Месечно отчитане,Отчитане при поискване - Материални запаси,Годишен отчет - Активи
,,3. GeneralLedgerEntries,,,,,,Mandatory,,,,,x,N/A,N/A
,GL.1,,N/A,NumberOfEntries,Брой записи,nonNegativeInteger,GL,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,GL.2,,,TotalDebit,"Обща сума на дебитите (в основна валута). Ако сумата е отрицателна, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",x,N/A,N/A
,GL.3,,,TotalCredit,"Обща сума на кредитите (в основна валута). Ако сумата е отрицателна, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")",N/A,N/A,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",x,N/A,N/A
,GL.4,,,Journal,Информация за дневника.,Journal, ,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,GL.5,,Journal,JournalID,"Идентификационен код на журнала, източник на транзакцията.",SAFshorttextType,GL,Optional,N/A,N/A,N/A,"Ако транзакцията е осчетоводена от журнал за плащания с код в информационната система - PAYMENTS, тогава елементът е със стойност PAYMENTS ",x,N/A,N/A
,GL.6,,,Description,"Описание на съответния код, посочен в предходния елемент. Например - Журнал Плащания.",SAFlongtextType,GL,Optional,N/A,N/A,N/A,,x,N/A,N/A
,GL.7,,,Type,Вид журнал. ,SAFmiddle1textType,GL,Optional,N/A,N/A,N/A,"Например - Accounts Payable (AP) вид журнали може да включват - журнал Плащания, журнал Фактури и т.н. и биха се обозначили с код AP.",x,N/A,N/A
,GL.8,,,Transaction,Счетоводни транзакции,Transaction, ,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,GL.9,,Transaction,TransactionID,Идентификатор/референция към транзакцията. ,SAFmiddle2textType, ,Mandatory,N/A,N/A,N/A,Номер на трансакцията генериран от софтуера при осчетоводяване на документ.,x,N/A,N/A
,GL.10,,,Period,Счетоводен период. ,nonNegativeInteger,GL,Mandatory,Стойността трябва да е от 01 до 12.,N/A,N/A,"В елемент „Period“ и елемент „PeriodYear“ се отразява годината и месеца за който се отнася осчетоводяването, а не дата на която е извършено осчетоводяването. 
Позволява се стойност от 01 до 12.
",x,N/A,N/A
,GL.11,,,PeriodYear,Година на счетоводния период.,nonNegativeInteger,GL,Mandatory,Максимум - текуща година,N/A,N/A,,x,N/A,N/A
,GL.12,,,TransactionDate,Дата на документа/транзакцията,Date,GL,Mandatory,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Кодирането на дата и час в стандартния одитен файл SAF-T се извършва въз основа на стандарта ISO 8601, който определя следния формат: YYYY-MM-DD

Примери за поддържания формат на дата: 2020-10-03, 2021-04-12",x,N/A,N/A
,GL.13,,,SourceID,"Детайли за лицето или приложението, които са въвели/генерирали транзакцията.
Код и/или описание на вътрешен модул или външна информационна система (приложение), което е генерирало/осчетоводило транзакцията. Алтернативно, се посочва код/име/номер на потребител на информационната система, ако транзакцията е въведена ръчно.",SAFmiddle1textType, ,Optional,N/A,N/A,N/A,,x,N/A,N/A
,GL.14,,,TransactionType,"Вид на транзакцията в журнала: нормална, (автоматизирана) периодична и т.н.",SAFshorttextType,GL,Optional,N/A,N/A,N/A,,x,N/A,N/A
,GL.15,,,Description,Описание на транзакцията,SAFlongtextType,GL,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,GL.16,,,BatchID,"Системно генериран идентификатор на пакет. В интегрираните (ERP), както и в някои счетоводни системи, идентификатора на пакет, обикновено указва, че определената група транзакции (пакет) са обработени едновременно.",SAFmiddle1textType, ,Optional,N/A,N/A,N/A,"Уникален код, генериран от информационната система на задължено лице за партидата от записани счетоводни записи.",x,N/A,N/A
,GL.17,,,SystemEntryDate,Системно запазена дата на въвеждане,Date,GL,Mandatory,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Кодирането на дата и час в стандартния одитен файл SAF-T се извършва въз основа на стандарта ISO 8601, който определя следния формат: YYYY-MM-DD

Примери за поддържания формат на дата: 2020-10-03, 2021-04-12",x,N/A,N/A
,GL.18,,,GLPostingDate,Дата на осчетоводяване ,Date,GL,Mandatory,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Кодирането на дата и час в стандартния одитен файл SAF-T се извършва въз основа на стандарта ISO 8601, който определя следния формат: YYYY-MM-DD

Примери за поддържания формат на дата: 2020-10-03, 2021-04-12",x,N/A,N/A
,GL.19,,,CustomerID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).",SAFmiddle1textType, ,Mandatory,N/A,N/A,N/A,"Доставчик (""SupplierID"") и Клиент (""CustomerID"") – се отчитат, както следва: 
• За транзакции и редове от транзакции в секция 3.GeneralLedgetEntries, които са свързани с клиент/доставчик, в съответните елементи ""CustomerID"" и ""SupplierID"" се подават техните идентификатори, както са дефинирани и подадени в секцията Master Files (MasterFiles), като в другия елемент се посочва стойност „0“ (нула). Например, ако транзакцията е свързана с клиент, посочете идентификатора му в CustomerID и отчетете SupplierID със стойност „0“ (нула).
• За транзакции и редове от транзакции в секция 3.GeneralLedgetEntries, които не са свързани с клиент/доставчик, и в двата елемента ""CustomerID"" и ""SupplierID"" се подава идентификатора на лицето, подаващо файла.",x,N/A,N/A
,GL.20,,,SupplierID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).",SAFmiddle1textType, ,Mandatory,N/A,N/A,N/A,"Доставчик (""SupplierID"") и Клиент (""CustomerID"") – се отчитат, както следва: 
• За транзакции и редове от транзакции в секция 3.GeneralLedgetEntries, които са свързани с клиент/доставчик, в съответните елементи ""CustomerID"" и ""SupplierID"" се подават техните идентификатори, както са дефинирани и подадени в секцията Master Files (MasterFiles), като в другия елемент се посочва стойност „0“ (нула). Например, ако транзакцията е свързана с клиент, посочете идентификатора му в CustomerID и отчетете SupplierID със стойност „0“ (нула).
• За транзакции и редове от транзакции в секция 3.GeneralLedgetEntries, които не са свързани с клиент/доставчик, и в двата елемента ""CustomerID"" и ""SupplierID"" се подава идентификатора на лицето, подаващо файла.",x,N/A,N/A
,GL.21,,,SystemID,"Уникален номер, създаден от системата за документа",SAFshorttextType, ,Optional,N/A,N/A,N/A,,x,N/A,N/A
,GL.22,,,Line,,TransactionLine, ,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,GL.23,,TransactionLine,RecordID,Идентификатор на записа,SAFshorttextType,GL,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,GL.24,,,AccountID,"Код на аналитична счетоводна сметка, който трябва да съответства на предоставения модел на Номенклатура на счетоводните сметки.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, по-голямо от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни, съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на аналитична счетоводна сметка, който се използва в счетоводните записвания. Полето следва да се попълни, съгласно номенклатурата: 
- NRA Nom of Accounts",x,N/A,N/A
