,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ИД №,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури и елементи ,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки,Модел на подаване,,
,,,,,,,,,,,,,Месечно отчитане,Отчитане при поискване - Материални запаси,Годишен отчет - Активи
,,1. Header,,,,,,Mandatory,,,,,x,x,x
,H.1,,N/A,HeaderStructure,,HeaderStructure,,Mandatory,N/A,N/A,N/A,,x,x,x
,H.2,,,TaxAccountingBasis,"А - за търговски предприятия

BANK - за кредитни институции и небанкови финансови институции

INSURANCE - за застрахователни компании

P - за бюджетни предприятия",SAFshorttextType,,Mandatory,"Ограничение на стойностите - 
”A”, ""BANK”, ”INSURANCE”, ""P"".","Семантичната валидация се изпълнява съгласно описанието в колона ""Описание""",N/A,,x,x,x
,H.3,,,TaxEntity,Фирма/подразделение/клон.,SAFmiddle2textType,,Optional,N/A,N/A,N/A,,x,x,x
,,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
