,,,,
,,,,
НОМЕНКЛАТУРА НА IBAN БАНКОВИ СМЕТКИ ФОРМАТИ,,,,
,,,,
,,,,
Описанията в полето Коментари са стандартизирани със специфични за държавата имена в скоби. Форматът на различните полета може да бъде изведен от полето IBAN.,,,,
,,,,
Страна,Брой знаци,Формат на банков код,IBAN полета,Коментари и пояснения
Albania,28,"8n,16c",ALkk bbbs sssx cccc cccc cccc cccc,b = National bank code
,,,,s = Branch code
,,,,x = National check digit
,,,,c = Account number
Andorra,24,"8n,12c",ADkk bbbb ssss cccc cccc cccc,b = National bank code
,,,,s = Branch code
,,,,c = Account number
Austria,20,16n,ATkk bbbb bccc cccc cccc,b = National bank code
,,,,c = Account number
Azerbaijan,28,"4c,20n",AZkk bbbb cccc cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
Bahrain,22,"4a,14c",BHkk bbbb cccc cccc cccc cc,b = National bank code
,,,,c = Account number
Belarus,28,"4c, 4n, 16c",BYkk bbbb aaaa cccc cccc cccc cccc,b = National bank or branch code
,,,,a = Balance account number
,,,,c = Account number
Belgium,16,12n,BEkk bbbc cccc ccxx,b = National bank code
,,,,c = Account number
,,,,x = National check digits
Bosnia and Herzegovina,20,16n,BAkk bbbs sscc cccc ccxx,"k = IBAN check digits (always ""39"")"
,,,,b = National bank code
,,,,s = Branch code
,,,,c = Account number
,,,,x = National check digits
Brazil,29,"23n,1a,1c",BRkk bbbb bbbb ssss sccc cccc ccct n,b = National bank code
,,,,s = Branch code
,,,,c = Account number
,,,,"t = Account type (cheque account, savings account etc.)"
,,,,"n = Owner account number (""1"", ""2"" etc.)[39]"
Bulgaria,22,"4a,6n,8c",BGkk bbbb ssss ttcc cccc cc,b = BIC bank code
,,,,s = Branch (BAE) number
,,,,t = Account type
,,,,c = Account number
Burundi,27,"5n, 5n, 11n, 2n",BIkk bbbb bsss sscc cccc cccc ccc,b = National bank code
,,,,s = Branch identifier
,,,,c = Account number
Costa Rica,22,18n,CRkk 0bbb cccc cccc cccc cc,0 = always zero
,,,,b = bank code
,,,,c = Account number
Croatia,21,17n,HRkk bbbb bbbc cccc cccc c,b = Bank code
,,,,c = Account number
Cyprus,28,"8n,16c",CYkk bbbs ssss cccc cccc cccc cccc,b = National bank code
,,,,s = Branch code
,,,,c = Account number
Czech Republic,24,20n,CZkk bbbb ssss sscc cccc cccc,b = National bank code
,,,,s = Account number prefix
,,,,c = Account number
Denmark,18,14n,DKkk bbbb cccc cccc cc,b = National bank code
,,,,c = Account number
Djibouti,27,"5n, 5n, 11n, 2n",DJkk bbbb bsss sscc cccc cccc ccc,b = National bank code
,,,,s = Branch identifier
,,,,c = Account number
Dominican Republic,28,"4a,20n",DOkk bbbb cccc cccc cccc cccc cccc,b = Bank identifier
,,,,c = Account number
East Timor,23,19n,TLkk bbbc cccc cccc cccc cxx,"k = IBAN check digits (always = ""38"")"
,,,,b = Bank identifier
,,,,c = Account number
,,,,x = National check digits
Egypt,29,25n,EGkk bbbb ssss cccc cccc cccc cccc c,b = National bank code
,,,,s = Branch code
,,,,c = Account number
El Salvador,28,"4a, 20n",SVkk bbbb cccc cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
Estonia,20,16n,EEkk bbss cccc cccc cccx,b = National bank code
