,,
,,
,Номенклатура на счетоводните сметки,
,,
,Сметка,Описание
,,Раздел 1: Сметки за капитал и заеми 
,,група 10: Капитал 
,101,"101 Основен капитал, изискващ регистрация "
,102,"102 Капитал, неизискващ регистрация "
,103,103 Ликвидационен капитал при несъстоятелност и ликвидация  
,104,104 Капитал на предприятия с нестопанска дейност 
,,група 11: Капиталови резерви 
,111,111 Законови резерви 
,112,112 Резерви от последваща оценка на дълготрайни активи 
,113,113 Резерви от последваща оценка на финансови инструменти 
,114,114 Резерви от емисия на акции 
,115,"115 Резерви, свързани с капитал "
,116,116 Обратно изкупени собствени акции  
,117,"117 Резерви, формирани от печалбата "
,119,119 Други резерви 
,,група 12: Финансови Резултати 
,121,121 Непокрита загуба от минали години  
,122,122 Неразпределена печалба от минали години 
,123,123 Печалби и загуби от текущата година  
,124,124 Резултат при несъстоятелност и ликвидация 
,125,125 Резултат от дейността на предприятия с нестопанска цел  
,,Група 13: Специфични некапиталови резерви 
,131,131 Пасив за остатъчно покритие
,132,132 Други застрахователни пасиви
,133,133 Пасив за възникнали щети
,134,134 Резерви за запасен фонд 
,135,135 Резерви за презастраховане 
,136,136 Други резерви по застрахователни договори 
,137,137 Резерви на инвестиционни дружества
,138,138 Резерви на пенсионни дружества // Резерви за гарантиране на минимална доходност 
,139,139 Активи по държани презастрахователни договори
,1391,1391 Пенсионни резерви
,,Група 14: Парични емисии
,141,141 Банкноти за обращение
,142,142 Монети за обращение
,,група 15: Получени заеми 
,151,151 Получени краткосрочни заеми 
,152,152 Получени дългосрочни заеми 
,153,153 Кредитни карти 
,154,154 Дългови инструменти 
,156,156 Овърдрафт 
,159,159 Други заеми и дългове 
,,Група 16: Приети депозити
,161,161 Приети депозити в левове
,162,162 Приети депозити във валута
,,Група 17: Привлечени средства в левове
,171,171 Разплащателни сметки на клиенти в левове
,172,172 Набирателни сметки на бюджетните предприятия в левове
,173,173 Специални сметки на клиенти в левове
,174,174 Влогови сметки на клиенти в левове
,175,175 Сметки за жилищно строителство в левове
,176,176 Текущи сметки на бюджетните предприятия в левове
,179,179 Други сметки на клиенти в левове
,,Група 18: Привлечени средства във валута
,181,181 Разплащателни сметки на клиенти във валута
,182,182 Набирателни сметки на бюджетните предприятия във валута
,183,183 Специални сметки на клиенти във валута
,184,184 Влогови сметки на клиенти във валута
,186,186 Текущи сметки на бюджетните предприятия във валута
,187,187 Бюджетни сметки на бюджетни предприятия във валута
,189,189 Други сметки на клиенти във валута
,,Група 19: Привлечени средства от участници в осигурителни фондове и заделени застрахователни резерви
,191,191 Сметки на участници в пенсионното осигуряване
,192,192 Сметки на участници в здравното осигуряване
,193,193 Сметки на участници в други осигурителни фондове
,194,194 Пасиви по държани презастрахователни договори
,195,195 Пасив за остатъчно покритие
,196,196 Пасив за възникнали щети
,197,197 Заделени резерви като запасен фонд
,198,198 Други застрахователни резерви
,199,199 Активи по държани презастрахователни договори
,,Раздел 2: Сметки за дълготрайни активи 
,,група 20: Дълготрайни Материални Активи 
,2011,2011 Земи (Терени)  
,2012,2012 Подобрения върху земите  
,202,202 Сгради и конструкции  
,203,203 Компютърна техника  
,204,204 Съоръжения  
,205,205 Машини и оборудване  
,206,206 Транспортни средства  
,207,207 Офис обзавеждане  
,208,208 Подобрения на наети помещения
,2081,2081 Активи за препродажба
,209,209 Други дълготрайни материални активи  
,,група 21: Дълготрайни Нематериални Активи 
,211,211 Продукти от развойна дейност  
,212,212 Програмни продукти  
,213,213 Права върху интелектуална собственост  
,214,214 Права върху индустриална собственост  
,219,219 Други нематериални дълготрайни активи
,,Група 22: Дълготрайни финансови активи
,221,221 Инвестиции в смесени предприятия  
,222,222 Инвестиции в дъщерни и асоциирани предприятия  
,223,223 Инвестиции в имоти (Инвестиционни имоти)  
,224,"224 Инвестиции във финансови активи, държани до настъпване на падеж  "
,225,"225 Инвестиции във финансови активи, отчитани по амортизируема стойност  "
,226,"226 Инвестиции във финансови активи, отчитани по справедлива стойност "
,227,227 Предоставени дългосрочни заеми и вземания  
,228,228 Инвестиции във финансови активи държани за търгуване 
,229,229 Инвестиции в други дългосрочни финансови активи  
,,група 23: Търговска репутация 
,231,231 Положителна търговска репутация  
,232,232 Отрицателна търговска репутация  
,,група 24: Амортизации 
,241,241 Амортизация на дълготрайни материални активи  
,242,242 Амортизация на дълготрайни нематериални активи  
,243,243 Амортизация на дълготрайни активи с право на ползване  
,,група 25: Корекции при обезценка 
,251,251 Корекция при обезценка на вземания  
,252,252 Корекция при обезценка на други активи  
,,26 Провизии за покриване на рискови активи
,261,261 Провизии за покриване на рискови активи
,262,262 Провизии за вземания от продажби
,263,263 Други провизии 
,,група 27: Дълготрайни биологични активи 
,271,271 Гори  
,272,272 Трайни насаждения – плододаващи  
,273,273 Трайни насаждения – неплододаващи  
,274,274 Животни в основни стада  
,279,279 Други дълготрайни биологични активи  
,,група 28: Дълготрайни активи с право на ползване 
,281,281 Земи (терени) с право на ползване  
,282,282 Сгради и конструкции с право на ползване  
,283,283 Транспортни средства с право на ползване  
,284,"284 Машини, съоръжения и оборудване с право на ползване  "
,285,285 Други дълготрайни материални активи с право на ползване  
,286,286 Програмни продукти с право на ползване  
,287,287 Други дълготрайни нематериални активи с право на ползване  
,,Раздел 3: Сметки за стоково материални запаси 
,,"група 30: Суровини/Материали, Продукция и Стоки "
,301,301 Доставки  
,302,302 Суровини/Материали  
,303,303 Продукти  
,304,304 Стоки  
,,група 31: Краткотрайни биологични активи 
,311,311 Дребни продуктивни животни  
,312,312 Птици – основни стада  
,313,313 Пчелни семейства  
,314,314 Млади животни  
,315,315 Животни за угояване  
,316,316 Животни за експериментални цели  
,319,319 Други краткотрайни биологични активи  
,,Раздел 4: Сметки за разчети 
,,група 40: Доставчици и свързани с тях сметки 
,401,401 Задължения към доставчици 
,402,402 Вземания от доставчици по аванси  
,403,403 Задължения към доставчици по търговски кредити 
,404,404 Задължения към доставчици по доставки при определени условия 
,405,405 Задължения към доставчици – свързани лица 
,408,408 Нефактурирани аванси към доставчици  
,409,409 Други задължения към доставчици 
,,група 41: Клиенти  
,411,411 Вземания от клиенти  
,412,412 Задължения към клиенти по аванси 
,413,413 Вземания от клиенти по търговски кредити  
,414,414 Вземания от клиенти по продажби при определени условия  
,415,415 Вземания от клиенти – свързани лица  
,416,416 Нефактурирани аванси от клиенти 
,417,"417 Активи от застрахователни договори, остатъчно покритие"
,419,419 Други вземания от клиенти  
,,група 42: Персонал и Съдружници 
,421,421 Задължения към персонал 
,422,422 Разчети с подотчетни лица  
,423,423 Задължения по неизползвани отпуски 
,424,424 Вземания от съучастия  
,425,425 Задължения за съучастия 
,426,426 Вземания по записани дялови вноски  
,427,427 Задължения към съдружници във връзка с намаляване на капитал 
,429,429 Други разчети с персонала и съдружниците  
,,Група 43: Разчети по преводи и вътрешни разчети
,431,431 Издадени преводи
,432,432 Получени преводи
,434,434 Неизравнени и неуточнени суми по преводи
,435,435 Преводи за изпълнение
,436,436 Разчети по преводи във валута
,438,438 Вътрешни разчети
,439,439 Други преводи
,,група 44: Други вземания и разчети
,441,441 Вземания по рекламации  
,442,442 Вземания по липси и начети  
,443,443 Ценови разлики по липси и начети 
,444,444 Вземания по съдебни спорове
,445,445 Присъдени вземания
,446,446 Разчети свързани с картови транзакции
,447,447 Разчети свързани с банкомати и постерминали
,448,448 Разчети свързани деривати и пасив по лизингови договори IFRS 16
,449,449 Други разчети
,4491,"4491 Разноски, такси, застраховки, свързани с кредитна дейност"
,,група 45: Разчети с бюджета 
,4521,4521 Разчети за годишен корпоративен данък  
,4522,4522 Разчети за авансов корпоративен данък  
,4531,4531 Начислен данък върху добавената стойност за покупките 
,4532,4532 Начислен данък върху добавената стойност за продажбите  
,4536,4536 Отложен данъчен кредит 
,4537,4537 Неизползван данъчен кредит 
,4538,4538 Данък върху добавената стойност за възстановяване 
,4539,4539 Данък върху добавената стойност за внасяне 
,454,454 Разчети за данъци върху доходи на физически лица 
,455,455 Разчети за данъци при източника  
,456,456 Разчети за данъци върху разходите  
,457,457 Разчети за акцизи  
,458,458 Разчети с митници  
,459,459 Други данъчни разчети с бюджета 
,,група 46: Разчети с осигурители 
,461,461 Разчети за задължително социално осигуряване  
,462,462 Разчети за доброволно социално и здравно осигуряване  
,463,463 Разчети за здравно осигуряване  
,469,469 Други разчети с осигурители  
,,Група 47: Разчети с международни финансови институции
,471,471 Разчети с Международния валутен фонд
,472,472 Разчети със Световната банка
,473,473 Разчети с други международни финансови институции
,474,474 Разчети по междуправителствени спогодби
,,Група 48: Чуждестранни и местни кореспонденти
,481,481 Разчети с чуждестранни кореспонденти
,482,482 Разчети с местни кореспонденти
,483,483 Разчети по предстоящо плащане
,484,484 Разчети по съзастраховане
,485,485 Вземания по регресни искове
,486,486 Разчети с презастрахователи
,487,487 Разчети със седанти
,,група 49: Разни дебитори и кредитори 
,491,491 Разчети с доверители  
,492,492 Разчети за гаранции  
,493,493 Разчети със собственици  
,494,494 Разчети по отсрочени данъци  
,495,495 Разчети по застраховане  
,496,496 Разчети по лихви  
,497,497 Провизии 
,498,498 Други дебитори 
,499,499 Други кредитори 
,4991,4991 Разчети с управлявани фондове
,,Раздел 5: Сметки за финансови средства 
