,
,
НОМЕНКЛАТУРА ЗА ВИДОВЕТЕ ИЗДАДЕНИ И ПОЛУЧЕНИ ФАКТУРИ/ДОКУМЕНТИ,
,
"Използва се номенклатурата на видовете документи, съгласно действащия Правилник за прилагане на закона за данък добавена стойност.",
,
Код,Наименование
01,Фактура
02,Дебитно известие
03,Кредитно известие
04,"Регистър на стоки под режим складиране на стоки до поискване, изпратени или транспортирани от територията на страната до територията на друга държава членка"
05,"Регистър на стоки под режим складиране на стоки до поискване, получени на територията на страната"
07,Митническа декларация
09,Протокол или друг документ
11,Фактура - касова отчетност
12,Дебитно известие – касова отчетност
13,Кредитно известие – касова отчетност
23,"Кредитно известие по чл. 126б, ал. 1 от ЗДДС"
29,"Протокол по чл. 126б, ал. 2 и 7 от ЗДДС"
81,Отчет за извършените продажби
82,Отчет за извършените продажби при специален ред на облагане
91,"Протокол за изискуемия данък по чл. 151в, ал. 3 от закона"
92,"Протокол за данъчния кредит по чл. 151г, ал. 8 от закона или отчет по чл. 104ж, ал. 14"
93,"Протокол за изискуемия данък по чл. 151в, ал. 7 от закона с получател по доставката лице, което не прилага специалния режим"
94,"Протокол за изискуемия данък по чл. 151в, ал. 7 от закона с получател по доставката лице, което прилага специалния режим"
95,"Протокол за безвъзмездно предоставяне на хранителни стоки, за което е приложим чл. 6, ал. 4, т. 4 ЗДДС"
