,,,,,,
,,,,,,
,ИД Но.,Наименование,Тип,Описание,Дължина,Бележки
,6. SimpleTypes,SAFmonetaryType,xs:decimal,"Парична сума. 18 цифри макс, от които 2 могат да бъдат дробни цифри.","totalDigits = 18
fractionalDigits = 2","За отрицателна стойност се приема знакът „-“ и „().
За десетичен разделител се приема ДЕСЕТИЧНА ТОЧКА („ . “)"
,,SAFexchangerateType,xs:decimal,"Парична сума. 18 цифри макс, от които 4 могат да бъдат дробни цифри.","totalDigits = 18
fractionalDigits = 4",Обменният курс е от Валута към EUR (пример - USD към EUR)
,,SAFquantityType,xs:decimal,"Използва се за описание на количество. 22 цифри макс, от които 6 могат да бъдат дробни цифри.","totalDigits = 22
fractionalDigits = 6",
,,SAFweightType,xs:decimal,"Използва се за описване на тегло. 14 цифри макс, от които 3 могат да бъдат дробни цифри.","totalDigits = 14
fractionalDigits = 3",
,,SAFcodeType,xs:string,Текст от максимум 9 знака,maxLength = 9,
,,SAFshorttextType,xs:string,Текст от максимум 18 знака,maxLength = 18,
,,SAFmiddle1textType,xs:string,Текст от максимум 35 знака,maxLength = 35,
,,SAFmiddle2textType,xs:string,Текст от максимум 70 знака,maxLength = 70,
,,SAFlongtextType,xs:string,Текст от максимум 256 знака,maxLength = 256,
,,ISOCountryCode,xs:string,ф;л,maxLength = 2,"Виж таблица ISO 3166-1 A2
Употреби и приложения
Кодовете ISO 3166-1 alpha-2 се използват в различни среди и също са част от други стандарти. 

Кодовете ISO 3166-1 alpha-2 се използват в следните стандарти:

Кратко име Дълго име Коментар
ISO 3166-2 Код на подразделение на страната
ISO 3901 Международен стандартен код за запис (ISRC)
ISO 4217 Код на валутата	
ISO 6166 Международен идентификационен номер на ценни книжа (ISIN)
ISO 9362 Банкови идентификационни кодове (BIC) Известни също като SWIFT кодове
ISO 13616 Международен номер на банкова сметка (IBAN)
ISO 15511 Международен стандартен идентификатор за библиотеки и сродни организации (ISIL)	
UN/LOCODE Кодекс на ООН за търговски и транспортни местоположения, прилаган от Икономическата комисия за Европа на Организацията на обединените нации"
,,ISOCurrencyCode,xs:string,Трибуквен код на валутата според стандарта ISO 4217.,maxLength = 3, Вижте таблица ISO4217
,,Date,xs:date,"Използваният формат е ГГГГ-ММ-ДД Примери: 2020-10-03, 2021-04-12",,"Кодирането на датата и часа в стандартния SAF-T одитен файл се основава на стандарта ISO 8601, който определя следния формат: ГГГГ-ММ-ДД"
,,Decimal,xs:decimal,"Десетични числа (рационално число) с произволна дължина. Позволява произволен брой начални и завършващи нули (след десетичната точка). 
",,"Десетичните дробни числа се представят винаги с разделител  десетични точки - "".""  !! това е XML технически стандарт - ние не променяме това, за да запазим информацията в системата ТОЧНО така, както е отчетена от данъкоплатците.
"
,,SAFBaseRate,xs:decimal,"Лимит: 0,00-1,00","totalDigits = 3
fractionalDigits = 2",
,,Time,xs:time,"Формат HH:MM 24h Пример: 01:25, 15:03",,"Кодирането на датата и часа в стандартния SAF-T одитен файл се основава на стандарта ISO 8601, който определя следния формат: ЧЧ:ММ 24Ч"
,,anyURI,xs:anyURI,,,
,,SAFAccountType,xs:string,Цяло число с три или повече разряда,,
