,,,,,,,,,,,,
,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури елементи,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки
,S.AD.1,5. Structures,5.1 Address Structure,StreetName,Име на улица или пощенска кутия. Може да включва и номер на сграда.,SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,
,S.AD.2,,,Number,"Номер на сградата, ако има такъв.",SAFshorttextType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.3,,,AdditionalAddressDetail,Втори ред за адрес,SAFmiddle2textType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.4,,,Building,"Идентификатор на сграда (номер, буквено означение, и т.н.)",SAFmiddle1textType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.5,,,City,Населено място,SAFmiddle1textType,ERP,Mandatory,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.6,,,PostalCode,Пощенски код,SAFshorttextType,ERP,Optional,Разрешени са всички ISO ASCII символи,N/A,N/A,
,S.AD.7,,,Region,Регион на съответната данъчна администрация,SAFmiddle1textType,ERP,Optional,Разрешени са всички ISO ASCII символи,Валидните кодове са кодове от ISO 3166-2:BG,N/A,
,S.AD.8,,,Country,Двубуквен код на държава съгласно ISO 3166-2-CountryCodes.,ISOCountryCode,ERP,Mandatory,Разрешени са всички ISO ASCII символи,Валидиране съгласно  ISO3166-2-CountryCodes,BG,
,S.AD.9,,,AddressType,"Тип адрес.
Изберете от списък: примери: StreetAddress, PostalAddress, BillingAddress, ShipToAddress, ShipFromAddress.",SAFshorttextType,ERP,Optional,"Разрешени са всички ISO ASCII символи

валидиране на: StreetAddress, PostalAddress, BillingAddress, ShipToAddress, ShipFromAddress.",N/A,N/A,
,S.AM.1,,5.2 AmountStructure,Amount,"Сумата във валутата по подразбиране на заглавния блок на SAF-T файла (основна валута). Сумата се представя като десетично число с две десетични цифри след разделителя на десетичната точка ("" . "")
Тази сума може да бъде отрицателна или положителна, според случая. Отрицателните суми се предхождат със знак минус (""-"")",SAFmonetaryType,ERP,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.",N/A - валидирането между декларираната сума и сумата в чуждестранна валута не се проверява въз основа на декларирания обменен курс,N/A,
,S.AM.2,,,CurrencyCode,Трибуквен код на валутата съгласно стандарта ISO 4217. Пример: EUR за евро или USD за щатски долари.,ISOCurrencyCode,ERP,Mandatory,Само буквени символи,"Валидиране съгласно ISO4217CurrCodes
",N/A,"Попълнено съгласно номенклатурата ISO4217CurrCodes. Тук се подава CurrencyCode - например EUR, USD, т.н.
"
