,,
,,
,НОМЕНКЛАТУРА ЗА ДВИЖЕНИЕ НА АКТИВИ,
,,
,"Номенклатурни движения на активи, всички сделки с активи. Кодове, използвани за попълване на полето AssetTransactionType	",
,,
,Код,Описание
,Code,Описанието не се използва във SAF-T файла (използва се само кода)
,10,Придобиване
,20,Продажба
,30,Амортизация
,40,Вътрешен трансфер
,50,Брак
,60,Преоценка (отрицателна)
,70,Преоценка (положителна)
,80,Излишък (при инвентаризация)
,90,Липса (при инвентаризация)
,100,Обезценка
,110,Сторно на обезценка
,120,Безвъзмездно предоставени активи
,130,Други транзакции
