,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури и елементи,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки,Модел на подаване,,
,,,,,,,,,,,,,Месечно отчитане,Отчитане при поискване - Материални запаси,Годишен отчет - Активи
,,2. MasterFiles,,,,,,Mandatory,,,,,x,x,x
,,,2.1 GeneralLedgerAccounts,,,,,Mandatory,,,,,x,N/A,N/A
,MF.GLA.1,,,Accounts,N/A,Account,GL,Mandatory,N/A,N/A,N/A,"Подават се всички сметки от утвърдения от предприятието сметкоплан, независимо от нивото на аналитичност, мапирани към номенклатура NRA_Nom_Accounts",x,N/A,N/A
,MF.GLA.2,,Account,AccountID,"Код на счетоводна сметка, който трябва да съответства на предоставения модел на номенклатура от сметки на НАП.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво сметка, която трябва да се попълни, съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на счетоводна сметка, който се използва в счетоводните записвания. Полето следва да се попълни, съгласно номенклатурата:
- NRA Nom of Accounts",x,N/A,N/A
,MF.GLA.3,,,AccountDescription,Наименование на сметката от системата на задълженото лице.,SAFlongtextType,GL,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,MF.GLA.4,,,TaxpayerAccountID,"Номер на сметка от информационната система, използвана за счетоводно отчитане от данъкоплатеца",SAFmiddle1textType,GL,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,,,,,,,,,,,,,,N/A,N/A
,MF.GLA.5,,,GroupingCategory,"Категория за групиране на сметката, използвана от данъкоплатеца. Обикновено се използва за отбелязване на специфична за данъкоплатеца категоризация (например - разходни, приходни)",SAFmiddle1textType,GL,Optional,N/A,N/A,N/A,,x,N/A,N/A
,MF.GLA.6,,,GroupingCode,Код от категорията за групиранe. Конкретен код от посочената категория  за групиране (например - материали или резервни части),SAFmiddle1textType,GL,Optional,N/A,N/A,N/A,,x,N/A,N/A
,MF.GLA.7,,,AccountType,"Тип на сметката - ""Активна"", ""Пасивна"", ""Активно-пасивна""",SAFshorttextType,GL,Mandatory,"Тип на сметката - ""Activе"", ""Passive"", ""Bifunctional""","Тип на сметката - ""Activе"", ""Pasive"", ""Bifunctional""",N/A,"Тип на сметката - ""Activ"", ""Passive"", ""Bifunktional""",x,N/A,N/A
,MF.GLA.8,,,AccountCreationDate,Дата на създаване на сметката,Date,GL,Optional,Валидация съгласно ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат ГГГГ-ММ-ДД

Пример за приет формат за дата: 2020-10-03, 2021-04-12",x,N/A,N/A
,MF.GLA.9,,,OpeningDebitBalance,"Дебитно салдо в началото на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с дебитно салдо, използвайте OpeningDebitBalance и не използвайте OpeningCreditBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.GLA.10,,,OpeningCreditBalance,"Кредитно салдо в началото на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с кредитно салдо, използвайте OpeningCreditBalance и не използвайте OpeningDebitBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.GLA.11,,,ClosingDebitBalance,"Дебитно салдо в края на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")","Ако сметката е с дебитно салдо, използвайте ClosingDebitBalance и не използвайте ClosingCreditBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая, за точно отчитане, включително Активно-пасивни сметки и отрицателно дебитно салдо за други видове сметки. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.GLA.12,,,ClosingCreditBalance,"Кредитно салдо в края на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число с разделител - десетична точка, максимум 2 (две) цифри след десетичната точка.Числото може да бъде положително или отрицателно. Отрицателните суми се предхождат със знак минус (""-"")","Ако сметката е с кредитно салдо, използвайте ClosingCreditBalance и не използвайте ClosingDebitBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая, за точно отчитане, включително Активно-пасивни сметки и отрицателно кредитно салдо за други видове сметки. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,,,2.2 Taxonomies,,,,,Optional - Тази подсекция НЕ Е ЗАДЪЛЖИТЕЛНА ЗА ПОДАВАНЕ,,,,,N/A,N/A,N/A
,MF.T.1,,,Taxonomies,Таксономии (секцията не се попълва).,Taxonomy,GL,Optional,N/A,N/A,N/A,Не се попълва във файла,N/A,N/A,N/A
,MF.T.2,,Taxonomy,TaxonomyReference,"Препратка към допълнителна таксономия (класификация), която се прилага към счетоводната сметка.",SAFlongtextType, ,Mandatory,N/A,N/A,N/A,,N/A,N/A,N/A
,MF.T.3,,,TaxonomyElement,,TaxonomyElement, ,Optional,N/A,N/A,N/A,,N/A,N/A,N/A
,MF.T.4,,TaxonomyElement,TaxonomyCode,Препратка към конкретния елемент на допълнителната таксономия (класификация).,SAFlongtextType, ,Mandatory,N/A,N/A,N/A,,N/A,N/A,N/A
,MF.T.5,,,TaxonomyClusterID,Допълнителна препратка към конкретния елемент на допълнителната таксономия (класификация).,SAFlongtextType, ,Optional,N/A,N/A,N/A,,N/A,N/A,N/A
,MF.T.6,,,TaxonomyClusterContextID,,SAFlongtextType, ,Optional,N/A,N/A,N/A,,N/A,N/A,N/A
,MF.T.7,,,AccountID,"Код на аналитична счетоводна сметка, който трябва да съответства на предоставения модел на номенклатура от сметки от НАП.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни,  съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на аналитична счетоводна сметка, който се използва в счетоводните записвания. Полето следва да се попълни, съгласно номенклатурата:
- NRA Nom of Accounts",N/A,N/A,N/A
,,,2.3 Customers,,,,,Mandatory,,,,,x,N/A,N/A
,MF.C.1,,,Customer,Информация за клиента.,Customer,,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,MF.C.2,,Customer,CompanyStructure,Дефиниция на структурата на компанията на клиента.,CompanyStructure, ,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,MF.C.3,,,CustomerID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).
",SAFmiddle1textType,CustomerMasterfile from taxpayer’s ERP,Mandatory,N/A,N/A,N/A,"Ако за един и същи контрагент в секция SourceDocuments са подадени данни за извършени към него доставки под различни идентификатори за целите на ДДС /VIN/, присвоен в различни държави членки - в елемента (CustomerID MF.C.3) се подава информация за идентификационен номер, издаден от държавата, в която е установен клиента. В този случай  структура TaxIDStructure (към която се препраща от CompanyStructure, част от подсекция Customers - MF.C.2) се подава задължително и поотделно за всеки идентификатор за целите на ДДС на този клиент.",x,N/A,N/A
,MF.C.4,,,SelfBillingIndicator,"Индикатор, показващ дали има споразумение за самофактуриране между клиента и доставчика.",SAFcodeType, ,Optional,N/A,"Възможна е една от следните стойности:
- Y
- N",N/A, ,x,N/A,N/A
,MF.C.5,,,AccountID,"Код на аналитична счетоводна сметка, който трябва да съответства предоставената номенклатура от сметки от НАП.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни, съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на аналитична счетоводна сметка, който се използва в счетоводните записвания. Полето следва да се попълни, съгласно номенклатурата: 
- NRA Nom of Accounts
Ако разчетите/балансите с клиент на предприятието се отразяват в повече от една счетоводна сметка - се подава информация за всяка счетоводна сметка в отделна структура на контрагента (CompanyStructure).",x,N/A,N/A
,MF.C.6,,,OpeningDebitBalance,"Дебитно салдо в началото на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с дебитно салдо, използвайте OpeningDebitBalance и не използвайте OpeningCreditBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
