,,,
,,,
,НОМЕНКЛАТУРА НА МЕХАНИЗМИТЕ ЗА ПЛАЩАНЕ,,
,,,
,"Номенклатура за използваните платежни средства и механизми за плащане
Кодовете от колоната ""Код за платежен механизъм""  се използва за попълване на полето PaymentMechanism в PaymentSettlement и PaymentMechanism в InvoiceSettlement
Кодовете (само двуцифреният код) от колоната ""Код, използван за начин на плащане"" се използват за попълване на полето PaymentMethod in Payments			",,
,"За да попълните PaymentMethod, изберете:
- код 01 - за пари в брой
- код 02 - за прихващане
- код 03 - за безкасово

За да попълните полето PaymentMechanism, изберете:
- код 10 - за плащане в брой
- код 97 - за прихващане между контрагенти
- код 98 - бартер
- код 99 - с подотчетни лица
- код 42 - за плащане по банков път/банкова сметка
- код 48 - за банкова карта
- код 20 - за банков чек
- код 68 - за услуги с онлайн плащане
- код 30 - за ваучер
",,
,,,
,Код за начин на плащане (Payment Method),Код за механизъм на плащане (Payment Mechanism),Описание на начин на плащане
,01 - Пари в брой,10,Пари в брой
,02 - Прихващане,97,Прихващане между контрагенти
,02 - Прихващане,98,Бартер
,02 - Прихващане,99,Подотчетни лица
,03 - Безкасово плащане,20,С чек
,03 - Безкасово плащане,42,Плащане по банкова сметка
,03 - Безкасово плащане,48,Банкова карта
,03 - Безкасово плащане,68,Услуги за онлайн плащане
,03 - Безкасово плащане,30,Ваучер
