,,,,,,
,,,,,,
,"НОМЕНКЛАТУРА НА ДАНЪЦИ, ОСИГУРОВКИ И ТАКСИ ПО ЗАКОНА ЗА ХАЗАРТА В БЪЛГАРИЯ",,,,,
,,,,,,
,"Забележка: При въвеждане на код за вид данък (TaxType) и код на данъка (TaxCode), където не е приложим код от номенклатурата се въвежда ""000"" за вид на данъка и ""000000"" за код на данъка. ",,,,,
,,,,,,
,"ВИД 
/TaxType/",ДАНЪК,"КОД 
/TaxCode/",ОПИСАНИЕ,СТАВКА,ЗАБЕЛЕЖКА
,100,ДАНЪК ВЪРХУ ДОБАВЕНАТА СТОЙНОСТ ,100211,Данъчна основа на облагаемите доставки със ставка 20 %,20%,
,,,100212,Данъчна основа на ВОП,20%,
,,,100220,Данъчна основа на ВОП със ставка 9%,9%,
,,,100226,"Данъчна основа по получените доставки по чл. 82, ал. 2 - 6 ЗДДС",20%,
,,,100223,Данъчна основа на начислен данък 20% за доставки на стоки и услуги за лични нужди ,20%,
,,,100224,Данъчна основа на начислен данък 9% за доставки на стоки и услуги за лични нужди,9%,
,,,100213,ДО на облагаемите доставки със ставка 9 %,9%,
,,,100214,ДО на доставките със ставка 0 % по глава трета от ЗДДС,0%,
,,,100215,ДО на ВОД на стоки,0%,
,,,100216,"Доставки по чл. 140, 146, 173, ал. 1 и 4 от ЗДДС ",0%,
,,,100217,"Данъчна основа на доставки на услуги по чл. 21, ал. 2 ЗДДС и чл. 22-24 от ЗДДС, с място на изпълнение на територията на друга държава членка",Н/П,
,,,100218,"Данъчна основа на доставки по чл. 69, ал. 2 ЗДДС, вкл. данъчна основа на доставките при условията на дистанционни продажби, с място на изпълнение на територията на друга държава членка",Н/П,
,,,100219,ДО на освободени доставки и освободените ВОП,Н/П,
,,,100225,ДО на доставки като посредник в тристранни операции,0%,
,,,100227,Извършени доставки по чл. 163а или основа при начисляване на ДДС при получени доставки по чл. 163а по ЗДДС - Доставки по част I на приложение 2 от ЗДДС,Н/П,
,,,100228,ДО на извършени доставки по чл. 163а или основа при начисляване на ДДС при получени доставки по чл. 163а по ЗДДС - Доставки по част II на приложение 2 от ЗДДС,Н/П,
,,,100229,Внос по чл. 167а - Приложение №3 от ЗДДС,20%,
,,,100230,Изпращане или транспортиране на стоки от територията на страната до територията на друга държава членка под режим складиране на стоки до поискване по чл. 15а от ЗДДС,Н/П,
,,,100231,"Замяна на лицето, за което са били предназначени стоките по чл. 15а, ал. 4 от ЗДДС",Н/П,
,,,100232,"Корекция на допусната грешка при посочване на идентификационен номер по ДДС на лицето, за което са предназначени стоките при операции, отразени с код 41",Н/П,
,,,100233,"Връщане на стоки на територията на страната по чл. 15а, ал. 5 от ЗДДС",Н/П,
,,,100330,"Данъчна основа и данък на получените доставки, ВОП, получените доставки по чл. 82, ал. 2 - 6 ЗДДС и вносът без право на данъчен кредит или без данък",Н/П,
,,,100331,"Данъчна основа на получените доставки, ВОП, получените доставки по чл. 82, ал. 2 - 6 ЗДДС, вносът, както и данъчната основа на получените доставки, използвани за извършване на доставки по чл. 69, ал. 2 ЗДДС с право на пълен данъчен кредит",Н/П,
,,,100332,"Данъчна основа на получените доставки, ВОП, получените доставки по чл. 82, ал. 2 - 6 ЗДДС, вносът, както и данъчната основа на получените доставки, използвани за извършване на доставки по чл. 69, ал. 2 ЗДДС с право на частичен данъчен кредит",Н/П,
,,,100242,"Годишна корекция по чл. 73, ал. 8 от ЗДДС",Н/П,
,,,100344,ДО при придобиване на стоки от посредник в тристранна операция,Н/П,
,,,100345,ДО на получени доставки по чл. 163а - Доставки по част II на приложение 2 от ЗДДС,Н/П,
,,,100346,Получени доставки по чл. 163а - Доставки по част I на приложение 2 от ЗДДС,Н/П,
,,,100347,Внос по чл. 167а от ЗДДС,20%,
,,,100348,Пристигане на стоки на територията на страната под режим складиране на стоки до поискване по чл. 15а от ЗДДС,Н/П,
,,,100349,"Замяна на лицето, за което са били предназначени стоките без прекратяване на договора по чл. 15а, ал. 4 от ЗДДС",Н/П,
,,,100350,"Брак/липса/унищожаване на стоки по чл. 15а, ал. 10 от ЗДДС",Н/П,
,,,100351,Прекратяване на договора при режим складиране на стоки до поискване по чл. 15а от ЗДДС,Н/П,
,,,100100,Лихви - данък върху добавената стойност,Н/П,
,,,100200,"Глоби, санкции и наказателни постановления",Н/П,
,200,КОРПОРАТИВЕН ДАНЪК ,200010,Корпоративен данък,10%,
,,,200020,Корпоративен данък,0%,"ЗКПО - чл. 174, 175, 176, 176а, ал. 1"
,,,200030,Месечни авансови вноски за корпоративен данък,10%,
,,,200040,Тримесечни авансови вноски за корпоративен данък,10%,
,,,200050,"Лицето не е задължено да прави авансови вноски, но по желание извършва тримесечни вноски ",10%,
,,,200060,Лицето не е задължено да прави авансови вноски и не извършва такива вноски ,Н/П,
,,,200070,Лихви - корпоративен данък,,
,,,200080,"Глоби, санкции и наказателни постановления",,
,300,ДАНЪК ВЪРХУ ПРИХОДИТЕ НА БЮДЖЕТНИТЕ ПРЕДПРИЯТИЯ ПО ЗКПО,300010,Данък върху приходите на общините ,2%,
,,,300020,"Данък върху приходите на бюджетните предприятия, различни от общини ",3%,
,,,300030,Лихви - данък върху приходите на общините,,
,,,300040,"Лихви - данък върху приходите на бюджетните предприятия, различни от общини",,
,,,300050,"Глоби, санкции и наказателни постановления",,
,400,ДАНЪК ВЪРХУ ДОПЪЛНИТЕЛНИТЕ РАЗХОДИ НА НАРОДНИТЕ ПРЕДСТАВИТЕЛИ ПО ЗКПО,400010,Данък върху допълнителните разходи на народните представители,10%,
,,,400020,Лихви - данък върху допълнителните разходи на народните представители,,
,,,400030,"Глоби, санкции и наказателни постановления",,
