,,
,,
НОМЕНКЛАТУРА НА МЕРНИТЕ ЕДИНИЦИ,,
,,
,,
Код,Наименование (ENG),Наименование (BG)
10,group,група
11,outfit,комплект
13,ration,порция/дажба/част
14,shot,доза/шот
20,twenty foot container,двадесетфутов контейнер
21,forty foot container,четиридесетфутов контейнер
22,decilitre per gram,децилитър на грам
23,gram per cubic centimetre,грам на кубичен сантиметър
24,theoretical pound,теоретичен фунт
25,gram per square centimetre,грам на квадратен сантиметър
27,ton,тон
28,kilogram per square metre,килограм на квадратен метър
33,kilopascal square metre per gram,килопаскал по квадратен метър на грам
34,kilopascal per millimetre,килопаскала на милиметър
35,millilitre per square centimetre second,милилитър на квадратен сантиметър в секунда
37,ounce per square foot,унция на квадратен фут
38,"ounce per square foot per 0,01inch","унция на квадратен фут за 0,01 инча"
40,millilitre per second,милилитър за секунда
41,millilitre per minute,милилитър за минута
56,sitas,ар
58,net kilogram,килограм нето
59,part per million,част на милион
60,percent weight,процент от теглото
61,part per billion (US),част на милиард (САЩ)
74,millipascal,милипаскал
77,milli-inch,милиинч
80,pound per square inch absolute,фунт на абсолютен квадратен инч
81,henry,хенри
85,foot pound-force,фут фунт-сила
87,pound per cubic foot,фунт на кубичен фут
89,poise,поаз
91,stokes,стокс
2A,radian per second,радиан в секунда
2B,radian per second squared,радиан за секунда на квадрат
2C,roentgen,рентген
2G,volt AC,волт AC
2H,volt DC,волт DC
2I,British thermal unit (international table) per hour,Британска топлинна единица (международна таблица) за час
2J,cubic centimetre per second,кубичен сантиметър за секунда
2K,cubic foot per hour,кубичен фут за час
2L,cubic foot per minute,кубичен фут за минута
2M,centimetre per second,сантиметър за секунда
2N,decibel,децибел
2P,kilobyte,килобайт
2Q,kilobecquerel,килобекерел
2R,kilocurie,килокюри
2U,megagram,мегаграм
2X,metre per minute,метър за минута
2Y,milliroentgen,милирентген
2Z,millivolt,миливолт
3B,megajoule,мегаджаул
4C,centistokes,сантистокс
4G,microlitre,микролитър
4H,micrometre (micron),микрометър (микрон)
4K,milliampere,милиампер
4L,megabyte,мегабайт
4M,milligram per hour,милиграм за час
4N,megabecquerel,мегабекерел
4O,microfarad,микрофарад
4P,newton per metre,нютон на метър
4Q,ounce inch,унция  инч
4R,ounce foot,унция фут
4T,picofarad,пикофарад
4U,pound per hour,фунт за час
4W,ton (US) per hour,тон (САЩ) за час
4X,kilolitre per hour,килолитър за час
5A,barrel (US) per minute,барел (САЩ) за минута
5B,batch,партида
5E,MMSCF/day,MMSCF/ден (Милион стандартни кубически фута на ден)
5J,hydraulic horse power,хидравлична конска сила
A10,ampere square metre per joule second,ампер квадратен метър за джаул секунда
A11,angstrom,ангстрьом
A13,attojoule,атоджаул
A14,barn,барн
A20,British thermal unit (international table) per second square foot degree Rankine,Британска топлинна единица (международна таблица) на секунда квадратен фут градус Ранкин
A21,British thermal unit (international table) per pound degree Rankine,Британска топлинна единица (международна таблица) за фунт по градус Ранкин
A22,British thermal unit (international table) per second foot degree Rankine,Британска топлинна единица (международна таблица) на секунда фут градус Ранкин
A23,British thermal unit (international table) per hour square foot degree Rankine,Британска топлинна единица (международна таблица) за час по квадратен фут по градус Ранкин
A24,candela per square metre,кандела на квадратен метър
A26,coulomb metre,кулонметър
A27,coulomb metre squared per volt,кулонметър на квадрат за волт
A28,coulomb per cubic centimetre,кулон за кубичен сантиметър
A29,coulomb per cubic metre,кулон за кубичен метър
A3,ampere per millimetre,ампер на милиметър
A30,coulomb per cubic millimetre,кулон на кубичен милиметър
A31,coulomb per kilogram second,кулон на килограм по секунда
A32,coulomb per mole,кулон на мол
A33,coulomb per square centimetre,кулон на квадратен сантиметър
A34,coulomb per square metre,кулон на квадратен метър
A35,coulomb per square millimetre,кулон на квадратен милиметър
A36,cubic centimetre per mole,кубичен сантиметър за мол
A37,cubic decimetre per mole,кубичен дециметър за мол
A38,cubic metre per coulomb,кубичен метър на кулон
A39,cubic metre per kilogram,кубичен метър за килограм
A4,ampere per square centimetre,ампер на квадратен сантиметър
A40,cubic metre per mole,кубичен метър за мол
A41,ampere per square metre,ампер на квадратен метър
A42,curie per kilogram,кюри на килограм
A43,deadweight tonnage,дедуейт
