101 ,"Основен капитал, изискващ регистрация"
102 ,"Основен капитал, неизискващ регистрация"
103 ,Ликвидационен капитал при несъстоятелност и ликвидация
104 ,Капитал на предприятия с нестопанска дейност
105 ,"Премии, свързани с капитал"
106 ,"Отбиви/сконто/, свързани с капитал"
111 ,Общи резерви
112 ,Резерви от последваща оценка на дълготрайни активи
113 ,Резерви от последваща оценка на краткотрайни активи
114 ,Резерви от последваща оценка на финансови инструменти
115 ,Резерви от емисия на акции
119 ,Други резерви
121 ,Непокрита загуба от минали години
122 ,Неразпределена печалба от минали години
123 ,Печалби и загуби от текущата година
124 ,Резултати при несъстоятелност и ликвидация
125 ,Резултат от дейността на предприятия с нестопанска цел
131 ,Резерви за животозастраховане
132 ,Пренос-премийни резерви
133 ,Резерви на предстоящи плащания
134 ,Резерви за запасен фонд
135 ,Резерви за презастраховане
136 ,Други резерви по застрахователни договори
137 ,Резерви на инвестиционни дружества
138 ,Резерви на пенсионни дружества
141 ,Банкноти за обращение
142 ,Монети за обращение
151 ,Получени краткосрочни заеми
152 ,Получени дългосрочни заеми
153 ,Дългови инструменти
159 ,Други заеми и дългове
161 ,Привлечени средства по депозитни сметки на банки и други финансови институции
162 ,Привлечени средства по депозитни сметки на нефинансови предприятия и други клиенти
171 ,Привлечени средства по разплащателни сметки на банки и други финансови институции
172 ,Привлечени средства по разплащателни сметки на нефинансови предприятия и други клиенти
173 ,Привлечени средства по специални сметки
174 ,Привлечени средства по влогови сметки
179 ,Привлечени средства по други сметки
181 ,Привлечени средства по сметки на участници в пенсионното осигуряване
182 ,Привлечени средства по сметки на участници в здравното осигуряване
189 ,Привлечени средства по сметки на участници в други осигурителни фондове
191 ,"Премии, произтичащи от финансови инструменти"
192 ,Сконто от финансови инструменти
201 ,Земи/терени
202 ,Подобрения върху земите
203 ,Сгради и конструкции
204 ,Компютърна техника
205 ,Съоръжения
206 ,Машини и оборудване
207 ,Транспортни средства
208 ,Офис обзавеждане
209 ,Други дълготрайни материални активи
211 ,Продукти от развойна дейност
212 ,Програмни продукти
213 ,Права върху интелектуална собственост
214 ,Права върху индустриална собственост
219 ,Други дълготрайни нематериални активи
221 ,Инвестиции в дъщерни предприятия
222 ,Инвестиции в асоциирани предприятия
223 ,Инвестиции в смесени предприятия
224 ,Инвестиционни имоти
225 ,"Финансови активи, държани до настъпване на падеж"
226 ,"Финансови активи, обявени за продажба"
227 ,"Финансови активи, заложени като обезщетение"
228 ,Държавни ценни книжа
229 ,Други дългосрочни финансови активи
231 ,Положителна търговска репутация
232 ,Отрицателна търговска репутация
241 ,Амортизация на дълготрайни материални активи
242 ,Амортизация на дълготрайни нематериални активи
261 ,Дългосрочни вземания и предоставени заеми на банки и други финансови институции
262 ,Дългосрочни вземания и предоставени заеми на нефинансови предприятия и други клиенти
263 ,Просрочени дългосрочни вземания и предоставени заеми
264 ,"Дългосрочни вземания и предоставени заеми, заложени като обезпечение"
269 ,Други дългосрочни вземания и предоставени заеми
271 ,Гори
272 ,Трайни насъждения-плододаващи
273 ,Трайни насъждения-неплододаващи
274 ,Животни в основни стада
279 ,Други дълготрайни биологични активи
301 ,Доставки
302 ,Материали
303 ,Продукция
304 ,Стоки
311 ,Дребни продуктивни животни
312 ,Птици-основни стада
313 ,Пчелни семейства
314 ,Млади животни
315 ,Животни за угояване
316 ,Животни за експериментални цели
319 ,Други краткотрайни биологични активи
401 ,Доставчици
402 ,Доставчици по аванси
403 ,Доставчици по търговски кредити
404 ,Доставчици по доставки при определени условия
405 ,Доставчици по доставки със свързани лица
409 ,Други разчети с доставчици
411 ,Клиенти
412 ,Клиенти по аванси
413 ,Клиенти по търговски кредити
414 ,Клиенти по продажби при определени условия
415 ,Клиенти по продажби със свързани лица
419 ,Други разчети с клиенти
421 ,Персонал
422 ,Подотчетни лица
423 ,Задължения по неизползвани отпуски
424 ,Вземания от съучастия
425 ,Задължения за съучастия
426 ,Вземания по записани дялови вноски
429 ,Други разчети с персонала и съдружниците
441 ,Вземания по рекламации
442 ,Вземания по липси и начети
443 ,Ценови разлики по липси и начети
444 ,Вземания по съдебни спорове
445 ,Присъдени вземания
451 ,Разчети с общините
452 ,Разчети за данък върху печалбата
453 ,Разчети за данък върху добавената стойност
454 ,Разчети за данъци върху доходи на физически лица
455 ,Разчети по социално осигуряване
456 ,Разчети за акцизи
457 ,Разчети с митници
459 ,Други разчети с бюджета и с ведомства
460 ,Вътрешни разчети
461 ,Националния осигурителен институт
471 ,Разчети с международния валутен фонд
472 ,Разчети със световната банка
473 ,Разчети с други международни финансови институции
474 ,Разчети по междуправителствени спогодби
481 ,Разчети по предсоящи плащания
482 ,Разчети при презастраховане и съзастраховане
483 ,Разчети с презастрахователи
484 ,Разчети със седанти
489 ,Други разчети
491 ,Доверители
492 ,Разчети за гаранции
493 ,Разчети за такси
494 ,Провизии
495 ,Разчети по застраховане
496 ,Разчети по лихви
497 ,Разчети по данъчни временни разлики
498 ,Други дебитори
499 ,Други кредитори
501 ,Каса в левове
502 ,Каса във валута
503 ,Разплащателна сметка във левове
504 ,Разплащателна сметка във валута
505 ,Акредитиви в левове
506 ,Акредитиви във валута
507 ,Предоставени депозити
508 ,Разплащателни чекове
509 ,Други парични средства
511 ,"Финансови активи, държани за търгуване"
512 ,Изкупени собствени акции
513 ,"Финансови активи, заложени като обезпечение"
514 ,Изкупени собствени облигации
515 ,Държавни ценни книжа
516 ,Благородни метали и акъпоценни камъни
519 ,Други краткосрочни финансови активи
521 ,Краткосрочни вземания и заеми от банки и други финансови институции
522 ,Краткосрочни вземания и заеми от нефинансови предприятия и други клиенти
523 ,"Краткосрочни вземания и заеми заложени, като обезпечение"
524 ,Просрочени краткосрочни вземания и заеми
